item,item_id,2026-Q1,2025-Q4,2025-Q4_1,2025-Q3
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,2883.8,2994.85,2574.99,2859.54
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,14801.94,14315.52,15121.61,15525.28
Chỉ số giá thị trường trên thu nhập (P/E),p_e,5.67,5.64,4.83,4.51
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.1,1.18,0.82,0.83
Tỷ suất cổ tức,dividend_yield,0.03,0.03,0.04,0.08
Beta,beta,0.8,0.71,0.91,0.8
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,3.38,4.05,5.85,5.79
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.26,0.31,0.45,0.45
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.74,1.89,1.83,2.32
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,1.34,1.28,1.2,1.23
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.47,0.68,0.73,1.17
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,36.39,25.41,17.51,15.73
ROE bình quân 4 quý gần nhất,roe_trailling,18.53,18.84,16.45,18.18
ROA bình quân 4 quý gần nhất,roa_trailling,1.42,1.45,1.32,1.42
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,11.98,51.29,8.8,59.8
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,14.05,49.82,8.94,58.51
Tăng trưởng tổng tài sản,total_assets,19.45,23.86,27.3,25.12
Tăng trưởng vốn chủ sở hữu,owners_equity,17.54,17.96,15.59,13.09
Tăng trưởng vốn điều lệ,charter_capital,25.42,25.42,12.33,11.0
Tăng trưởng dư nợ cho vay,deposits_from_customers,18.25,26.38,29.77,28.9
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,14.45,19.72,19.32,22.3
Tăng trưởng thu nhập lãi thuần,net_interest_income,-53.76,63.22,7.23,122.68
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,1.35,5.99,9.72,3.4
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,74.65,504.27,121.66,205.15
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,-48.3,77.59,5.64,159.49
Tăng trưởng tổng chi phí HĐKD,operating_expenses,-7.4,40.25,-4.96,35.59
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,77.71,79.78,80.0,80.49
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,68.89,71.29,71.82,72.03
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.09,0.09,0.09,0.09
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,7.62,7.71,7.77,7.65
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.02,-0.02,-0.02,-0.02
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,91.35,92.29,95.7,94.11
